dataset,sweep,rank,threshold,f1,precision,recall,tp,fp,fn
bbc,coarse,38,0.3700000047683716,0.0024737167594310453,0.8571428571428571,0.0012386457473162675,6,1,4838
bbc,coarse,39,0.3199999928474426,0.00247269730063878,0.6666666666666666,0.0012386457473162675,6,3,4838
bbc,coarse,40,0.32499998807907104,0.00247269730063878,0.6666666666666666,0.0012386457473162675,6,3,4838
bbc,coarse,41,0.3799999952316284,0.002061855670103093,0.8333333333333334,0.001032204789430223,5,1,4839
bbc,coarse,42,0.38999998569488525,0.002061855670103093,0.8333333333333334,0.001032204789430223,5,1,4839
bbc,coarse,43,0.4000000059604645,0.002061855670103093,0.8333333333333334,0.001032204789430223,5,1,4839
bbc,coarse,44,0.5,0.0,0.0,0.0,0,0,4844
bbc,coarse,45,0.6000000238418579,0.0,0.0,0.0,0,0,4844
bbc,coarse,46,0.699999988079071,0.0,0.0,0.0,0,0,4844
bbc,coarse,47,0.800000011920929,0.0,0.0,0.0,0,0,4844
bbc,coarse,48,0.8999999761581421,0.0,0.0,0.0,0,0,4844
bbc,fine,1,0.089,0.9671654197838736,0.9736401673640167,0.9607762180016516,4654,126,190
bbc,fine,2,0.09,0.967158594886718,0.9738384261197154,0.9605697770437654,4653,125,191
bbc,fine,3,0.091,0.9669369931378665,0.974025974025974,0.9599504541701074,4650,124,194
bbc,fine,4,0.088,0.9668640282538693,0.9730294794062304,0.9607762180016516,4654,129,190
bbc,fine,5,0.083,0.9667980908902263,0.9718397997496871,0.9618084227910817,4659,135,185
bbc,fine,6,0.087,0.9667774086378738,0.9724310776942355,0.9611890999174236,4656,132,188
bbc,fine,7,0.081,0.9667185069984449,0.9710476983961674,0.9624277456647399,4662,139,182
bbc,fine,8,0.085,0.9666770476487075,0.972228022551681,0.9611890999174236,4656,133,188
bbc,fine,9,0.086,0.9666770476487075,0.972228022551681,0.9611890999174236,4656,133,188
bbc,fine,10,0.08,0.9666182873730044,0.9708454810495627,0.9624277456647399,4662,140,182
bbc,fine,11,0.092,0.9666146645865835,0.9740096415845735,0.9593311312964492,4647,124,197
bbc,fine,12,0.082,0.9665041999377787,0.9710356324234215,0.9620148637489678,4660,139,184
bbc,fine,13,0.093,0.9665002080732418,0.9742030201342282,0.9589182493806772,4645,123,199
bbc,fine,14,0.084,0.9664833454394522,0.9716252868766951,0.9613955408753097,4657,136,187
bbc,fine,15,0.079,0.9664248704663212,0.9702455264253017,0.9626341866226259,4663,143,181
bbc,fine,16,0.094,0.9663856800915809,0.9743966421825814,0.958505367464905,4643,122,201
bbc,fine,17,0.095,0.9663786822108879,0.9745958429561201,0.958298926507019,4642,121,202
bbc,fine,18,0.074,0.9662455995030026,0.9692563356875779,0.9632535094962841,4666,148,178
bbc,fine,19,0.096,0.9661634565330557,0.9745851711825246,0.9578860445912469,4640,121,204
bbc,fine,20,0.097,0.9661564094553786,0.9747846186173565,0.9576796036333609,4639,120,205
bbc,fine,21,0.098,0.9661564094553786,0.9747846186173565,0.9576796036333609,4639,120,205
bbc,fine,22,0.073,0.9661455637229528,0.969055036344756,0.9632535094962841,4666,149,178
bbc,fine,23,0.075,0.9661315380631796,0.9694450218249844,0.9628406275805119,4664,147,180
bbc,fine,24,0.078,0.9661245208743395,0.9696402578498649,0.9626341866226259,4663,146,181
bbc,fine,25,0.07,0.9660666252845024,0.9682704272086271,0.9638728323699421,4669,153,175
bbc,fine,26,0.071,0.9660666252845024,0.9682704272086271,0.9638728323699421,4669,153,175
bbc,fine,27,0.076,0.9660314830157415,0.969243557772236,0.9628406275805119,4664,148,180
bbc,fine,28,0.077,0.9660314830157415,0.969243557772236,0.9628406275805119,4664,148,180
bbc,fine,29,0.072,0.9659526027113733,0.9684581863457149,0.9634599504541701,4667,152,177
bbc,fine,30,0.099,0.9659339514532764,0.9749737118822293,0.9570602807597027,4636,119,208
bbc,fine,31,0.106,0.9656898529565127,0.9757639620653319,0.9558216350123865,4630,115,214
bbc,fine,32,0.068,0.9656812073599339,0.9670807453416149,0.9642857142857143,4671,159,173
bbc,fine,33,0.069,0.9656670113753878,0.9674678823041857,0.9638728323699421,4669,157,175
bbc,fine,34,0.1,0.9656106711129636,0.9749579124579124,0.9564409578860446,4633,119,211
bbc,fine,35,0.101,0.9656106711129636,0.9749579124579124,0.9564409578860446,4633,119,211
bbc,fine,36,0.065,0.9656027269910133,0.9663014265040314,0.9649050371593724,4674,163,170
bbc,fine,37,0.066,0.9655956193821676,0.9664943123061014,0.9646985962014863,4673,162,171
bbc,fine,38,0.059,0.9655670103092784,0.9643739703459637,0.9667630057803468,4683,173,161
bbc,fine,39,0.06,0.9655599092596412,0.9645653069633292,0.9665565648224608,4682,172,162
bbc,fine,40,0.109,0.965553235908142,0.9765625,0.9547894302229563,4625,111,219
bbc,fine,41,0.067,0.9654958677685951,0.9662944582299421,0.9646985962014863,4673,163,171
bbc,fine,42,0.103,0.9654956739289065,0.9751526637186776,0.9560280759702725,4631,118,213
bbc,fine,43,0.105,0.9654884787821916,0.9753528544343796,0.9558216350123865,4630,117,214
bbc,fine,44,0.104,0.9653878231859884,0.9751474304970514,0.9558216350123865,4630,118,214
bbc,fine,45,0.058,0.965382237791057,0.9635952283011107,0.967175887696119,4685,177,159
bbc,fine,46,0.107,0.9653589315525877,0.9759493670886076,0.9549958711808423,4626,114,218
bbc,fine,47,0.108,0.9653517011062409,0.9761502743773744,0.9547894302229563,4625,113,219
bbc,fine,48,0.061,0.9653393851867135,0.9647422680412371,0.9659372419488026,4679,171,165
bbc,fine,49,0.063,0.9653107577947553,0.9655101197852127,0.9651114781172585,4675,167,169
bbc,fine,50,0.064,0.9653035935563816,0.965702479338843,0.9649050371593724,4674,166,170
bbc,fine,51,0.102,0.96529442417926,0.9747421595453589,0.9560280759702725,4631,120,213
bbc,fine,52,0.062,0.965218288781092,0.9651186790505676,0.9653179190751445,4676,169,168
bbc,fine,53,0.11,0.9651211361737677,0.9765426880811496,0.9539636663914121,4621,111,223
bbc,fine,54,0.112,0.9648976180526536,0.9767343485617598,0.9533443435177539,4618,110,226
bbc,fine,55,0.057,0.9648851817526516,0.9626053010067803,0.967175887696119,4685,182,159
bbc,fine,56,0.111,0.9648115276182521,0.9761250792309317,0.953757225433526,4620,113,224
bbc,fine,57,0.056,0.9648075735748096,0.9618383258104226,0.967795210569777,4688,186,156
bbc,fine,58,0.113,0.9646665272841312,0.97712833545108,0.9525185796862098,4614,108,230
bbc,fine,59,0.114,0.9646665272841312,0.97712833545108,0.9525185796862098,4614,108,230
bbc,fine,60,0.115,0.9644574534810788,0.9769165607793308,0.9523121387283237,4613,109,231
bbc,fine,61,0.116,0.9643417337655547,0.9771137952956135,0.9518992568125516,4611,108,233
bbc,fine,62,0.055,0.9641204893595147,0.9602703256194962,0.968001651527663,4689,194,155
bbc,fine,63,0.117,0.9640167364016735,0.9770992366412213,0.9512799339388934,4608,108,236
bbc,fine,64,0.12,0.9639715123586092,0.9783163265306123,0.9500412881915772,4602,102,242
bbc,fine,65,0.122,0.9639412997903564,0.9791311754684838,0.949215524360033,4598,98,246
bbc,fine,66,0.123,0.9638326868644511,0.9791267305644302,0.949009083402147,4597,98,247
bbc,fine,67,0.119,0.9637772194304857,0.9776975361087511,0.9502477291494632,4603,105,241
bbc,fine,68,0.121,0.9637392580171872,0.9787143465304385,0.949215524360033,4598,100,246
