rank,mode,temperature,sigma,threshold,min_distance,prominence,f1,precision,recall,tp,fp,fn,key
617,peak,0.5,2.0,0.1,0,0.001,0.7237607633232488,0.6233089487924641,0.8628103759189901,6220,3759,989,peak|T=0.5|sigma=2|thr=0.1|dist=0|prom=0.001
618,peak,0.5,1.5,0.1,16,0.0,0.7235988883742472,0.6209877770048693,0.8668331252600916,6249,3814,960,peak|T=0.5|sigma=1.5|thr=0.1|dist=16|prom=0
619,peak,0.5,1.5,0.1,16,0.001,0.7227652808856436,0.6279545687097104,0.8512969898737689,6137,3636,1072,peak|T=0.5|sigma=1.5|thr=0.1|dist=16|prom=0.001
620,peak,0.38780461844336944,1.5,0.1,0,0.0,0.7227414330218069,0.6107600995596401,0.8850048550423082,6380,4066,829,peak|T=0.38780462|sigma=1.5|thr=0.1|dist=0|prom=0
621,peak,0.5,2.0,0.1,0,0.0,0.7219605204127412,0.6059493551727384,0.8929116382299903,6437,4186,772,peak|T=0.5|sigma=2|thr=0.1|dist=0|prom=0
622,peak,0.35,2.5,0.15,24,0.001,0.721743612399676,0.7691462649089768,0.6798446386461368,4901,1471,2308,peak|T=0.35|sigma=2.5|thr=0.15|dist=24|prom=0.001
623,peak,0.38780461844336944,1.5,0.1,0,0.001,0.721205845127143,0.6161407647694879,0.8694687196559856,6268,3905,941,peak|T=0.38780462|sigma=1.5|thr=0.1|dist=0|prom=0.001
624,peak,0.5,1.5,0.121,0,0.001,0.7164128404008379,0.6052228811938014,0.8776529338327091,6327,4127,882,peak|T=0.5|sigma=1.5|thr=0.121|dist=0|prom=0.001
625,peak,0.5,1.5,0.121,0,0.0,0.7141827855678101,0.5947018645006461,0.8937439311971147,6443,4391,766,peak|T=0.5|sigma=1.5|thr=0.121|dist=0|prom=0
626,peak,0.5,1.5,0.118,0,0.001,0.7141568981064021,0.6014238253440911,0.8789013732833958,6336,4199,873,peak|T=0.5|sigma=1.5|thr=0.118|dist=0|prom=0.001
627,segment,0.5,1.5,0.1,0,0.0,0.7133207839663381,0.5935685985441813,0.893605215702594,6442,4411,767,segment|T=0.5|sigma=1.5|thr=0.1|dist=0|prom=0
628,peak,0.5,1.5,0.118,0,0.0,0.7116625310173698,0.5906095551894563,0.8951310861423221,6453,4473,756,peak|T=0.5|sigma=1.5|thr=0.118|dist=0|prom=0
629,peak,0.5,1.5,0.1,0,0.001,0.6988347283768258,0.5769647696476965,0.8859758635039534,6387,4683,822,peak|T=0.5|sigma=1.5|thr=0.1|dist=0|prom=0.001
630,peak,0.5,1.5,0.1,0,0.0,0.6943215142628634,0.5639182400831457,0.9031765848245249,6511,5035,698,peak|T=0.5|sigma=1.5|thr=0.1|dist=0|prom=0
